RC,YR,POP,USUR,USAL,UGW,UREC,URES,UIND,UTOT,UPOP,ASUR,ASAL,AGW,AREC,ATOT,ISUR,ISAL,IGW,IREC,ITOT,PSUR,PSAL,PGW,PREC,PTOT,SUR,SAL,GW,REC,ALL,PGEN,SC,SN,CC,RN,CN
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,7,CA_Other,Butte County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,9,CA_Other,Calaveras County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,11,CA_Other,Colusa County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,13,CA_Other,Contra Costa Coun
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,15,CA_Other,Del Norte County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,17,CA_Other,El Dorado County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,19,CA_Other,Fresno County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,21,CA_Other,Glenn County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,23,CA_Other,Humboldt County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,27,CA_Other,Inyo County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,29,CA_Other,Kern County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,31,CA_Other,Kings County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,33,CA_Other,Lake County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,35,CA_Other,Lassen County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,39,CA_Other,Madera County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,41,CA_Other,Marin County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,43,CA_Other,Mariposa County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,45,CA_Other,Mendocino County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,47,CA_Other,Merced County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,49,CA_Other,Modoc County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,51,CA_Other,Mono County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,53,CA_Other,Monterey County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,55,CA_Other,Napa County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,57,CA_Other,Nevada County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,61,CA_Other,Placer County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,63,CA_Other,Plumas County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,67,CA_Other,Sacramento County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,69,CA_Other,San Benito County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,75,CA_Other,San Francisco Cou
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,77,CA_Other,San Joaquin Count
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,79,CA_Other,San Luis Obispo C
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,81,CA_Other,San Mateo County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,83,CA_Other,Santa Barbara Cou
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,85,CA_Other,Santa Clara Count
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,87,CA_Other,Santa Cruz County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,89,CA_Other,Shasta County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,91,CA_Other,Sierra County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,93,CA_Other,Siskiyou County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,95,CA_Other,Solano County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,97,CA_Other,Sonoma County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,99,CA_Other,Stanislaus County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,101,CA_Other,Sutter County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,103,CA_Other,Tehama County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,105,CA_Other,Trinity County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,107,CA_Other,Tulare County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,109,CA_Other,Tuolumne County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,113,CA_Other,Yolo County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,115,CA_Other,Yuba County
4,2010,1951.269,386.79,0,67.31,0,439.43,0,454.1,1877.94,4.43,0,10.04,2.21,16.68,7.19,0,2.89,0,10.08,3.04,0,4.95,0,7.99,401.45,0,85.19,2.21,488.85,3579.67,32,Nevada,3,NV_LasVega,Clark County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,1,NV_Other,Churchill County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,5,NV_Other,Douglas County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,7,NV_Other,Elko County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,9,NV_Other,Esmeralda County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,11,NV_Other,Eureka County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,13,NV_Other,Humboldt County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,15,NV_Other,Lander County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,17,NV_Other,Lincoln County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,19,NV_Other,Lyon County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,21,NV_Other,Mineral County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,23,NV_Other,Nye County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,27,NV_Other,Pershing County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,29,NV_Other,Storey County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,31,NV_Other,Washoe County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,33,NV_Other,White Pine County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,510,NV_Other,Carson City City
6,2010,416.449,23.01,0,60.28,0,79.74,0,83.29,392.47,1621.44,0,242.54,3.93,1867.91,0,0,0.4,0,0.4,0.71,0,2.92,0,3.63,1645.16,0,306.14,3.93,1955.23,1477.75,4,Arizona,12,AZ_West,La Paz County
6,2010,416.449,23.01,0,60.28,0,79.74,0,83.29,392.47,1621.44,0,242.54,3.93,1867.91,0,0,0.4,0,0.4,0.71,0,2.92,0,3.63,1645.16,0,306.14,3.93,1955.23,1477.75,4,Arizona,15,AZ_West,Mohave County
6,2010,416.449,23.01,0,60.28,0,79.74,0,83.29,392.47,1621.44,0,242.54,3.93,1867.91,0,0,0.4,0,0.4,0.71,0,2.92,0,3.63,1645.16,0,306.14,3.93,1955.23,1477.75,4,Arizona,27,AZ_West,Yuma County
7,2010,5173.443,596.06,0,450.64,0,1036.13,0,1046.7,5097.75,1134.05,0,1132.51,113.21,2379.77,0,0,43.54,0,43.54,5.05,0,27.24,0,32.29,1735.16,0,1653.93,113.21,3502.3,41970.02,4,Arizona,13,AZ_Central,Maricopa County
7,2010,5173.443,596.06,0,450.64,0,1036.13,0,1046.7,5097.75,1134.05,0,1132.51,113.21,2379.77,0,0,43.54,0,43.54,5.05,0,27.24,0,32.29,1735.16,0,1653.93,113.21,3502.3,41970.02,4,Arizona,19,AZ_Central,Pima County
7,2010,5173.443,596.06,0,450.64,0,1036.13,0,1046.7,5097.75,1134.05,0,1132.51,113.21,2379.77,0,0,43.54,0,43.54,5.05,0,27.24,0,32.29,1735.16,0,1653.93,113.21,3502.3,41970.02,4,Arizona,21,AZ_Central,Pinal County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,1,AZ_Other,Apache County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,3,AZ_Other,Cochise County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,5,AZ_Other,Coconino County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,7,AZ_Other,Gila County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,9,AZ_Other,Graham County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,11,AZ_Other,Greenlee County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,17,AZ_Other,Navajo County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,23,AZ_Other,Santa Cruz County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,25,AZ_Other,Yavapai County
9,2010,1872.413,269.09,0,178.03,0,445.58,0,447.12,1863.2,354.33,0,67.38,2.05,423.76,0,33.1,44.82,0,77.92,0,0.47,5.87,0.51,6.85,623.42,33.57,296.1,2.56,955.65,5230.83,49,Utah,11,UT_Urban,Davis County
9,2010,1872.413,269.09,0,178.03,0,445.58,0,447.12,1863.2,354.33,0,67.38,2.05,423.76,0,33.1,44.82,0,77.92,0,0.47,5.87,0.51,6.85,623.42,33.57,296.1,2.56,955.65,5230.83,49,Utah,23,UT_Urban,Juab County
9,2010,1872.413,269.09,0,178.03,0,445.58,0,447.12,1863.2,354.33,0,67.38,2.05,423.76,0,33.1,44.82,0,77.92,0,0.47,5.87,0.51,6.85,623.42,33.57,296.1,2.56,955.65,5230.83,49,Utah,29,UT_Urban,Morgan County
