RC,YR,POP,USUR,USAL,UGW,UREC,URES,UIND,UTOT,UPOP,ASUR,ASAL,AGW,AREC,ATOT,ISUR,ISAL,IGW,IREC,ITOT,PSUR,PSAL,PGW,PREC,PTOT,SUR,SAL,GW,REC,ALL,PGEN,SC,SN,CC,CN
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,29,Kern County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,31,Kings County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,33,Lake County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,35,Lassen County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,39,Madera County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,41,Marin County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,43,Mariposa County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,45,Mendocino County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,47,Merced County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,49,Modoc County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,51,Mono County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,53,Monterey County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,55,Napa County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,57,Nevada County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,61,Placer County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,63,Plumas County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,67,Sacramento County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,69,San Benito County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,75,San Francisco Cou
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,77,San Joaquin Count
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,79,San Luis Obispo C
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,81,San Mateo County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,83,Santa Barbara Cou
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,85,Santa Clara Count
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,87,Santa Cruz County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,89,Shasta County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,91,Sierra County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,93,Siskiyou County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,95,Solano County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,97,Sonoma County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,99,Stanislaus County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,101,Sutter County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,103,Tehama County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,105,Trinity County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,107,Tulare County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,109,Tuolumne County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,113,Yolo County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,115,Yuba County
4,2010,1951.269,386.79,0,67.31,0,439.43,0,454.1,1877.94,4.43,0,10.04,2.21,16.68,7.19,0,2.89,0,10.08,3.04,0,4.95,0,7.99,401.45,0,85.19,2.21,488.85,3579.67,32,Nevada,3,Clark County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,1,Churchill County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,5,Douglas County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,7,Elko County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,9,Esmeralda County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,11,Eureka County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,13,Humboldt County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,15,Lander County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,17,Lincoln County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,19,Lyon County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,21,Mineral County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,23,Nye County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,27,Pershing County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,29,Storey County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,31,Washoe County
